TestID,StreetName,City,State,ZIP,Country
1001055,19191 STATE ROUTE 2,MONROE,WA,98272-1553,USA
1001060,595 GRANT ROAD,EAST WENATCHEE,WA,98802-7817,USA
1001061,312 SOUND RD,HOLLY RIDGE,NC,28445-7812,USA
1001063,531 E MAIN ST,OTHELLO,WA,99344-1148,USA
1001064,7021 HOMESTEAD AVE,TACOMA,WA,98404-5023,USA
1001065,11319 26TH AVE S,SEATTLE,WA,98168-1859,USA
1001066,9501 STATE AVE,MARYSVILLE,WA,98270-2235,USA
1001067,7547 TELEGRAPH RD,MONTEBELLO,CA,90640-6516,USA
1001070,11023 STATE AVE,MARYSVILLE,WA,98271-7200,USA
1001071,1120 W FULLERTON AVE,ADDISON,IL,60101-4304,USA
1001072,508 E CHERRY ST,TROY,MO,63379-1410,USA
1001073,4544 TRAFALGAR AVE,JUNEAU,AK,99801-9173,USA
1001074,1300 SW OAK ST,HILLSBORO,OR,97123-4308,USA
1001075,1000 2ND AVE,SEATTLE,WA,98104-1094,USA
1001076,9427 17TH AVE SW,SEATTLE,WA,98106-2710,USA
1001077,13043 1ST AVE S,BURIEN,WA,98168-2620,USA
1001078,11853 SE 221ST ST,KENT,WA,98031-9628,USA
1001079,117 KIRKLAND AVE,KIRKLAND,WA,98033-6504,USA
1001080,1609 EAGLE RIDGE DR S,RENTON,WA,98055-3562,USA
1001081,570 SE 3RD AVE,HILLSBORO,OR,97123-4407,USA
1001082,804 HOWELL ST,SEATTLE,WA,98101-1311,USA
1001083,18801 SE STARK ST,PORTLAND,OR,97233-5331,USA
1001085,525 E COLLEGE WAY,MOUNT VERNON,WA,98273-5571,USA
1001086,317 W MEEKER ST,KENT,WA,98032-6005,USA
1001087,12413 MERIDIAN E,PUYALLUP,WA,98373-3470,USA
1001089,508 BAYSIDE RD,BELLINGHAM,WA,98225-7806,USA
1001091,177 WESTERN AVE W,SEATTLE,WA,98119-4211,USA
1001092,11139 SW CAPITOL HWY,PORTLAND,OR,97219-7201,USA
1001093,16507 140TH PL NE,WOODINVILLE,WA,98072-9050,USA
1001094,7403 SW BRIDGEPORT RD,TIGARD,OR,97224-7773,USA
1001096,25451 104TH AVE SE,KENT,WA,98030-6663,USA
1001097,8130 OLD SEWARD HWY,ANCHORAGE,AK,99518-3349,USA
1001100,1233 SE 174TH AVE,PORTLAND,OR,97233,USA
1001101,917 MARION ST,CENTRALIA,WA,98531-5428,USA
1001102,803 COWEEMAN LN,KELSO,WA,98626-2856,USA
1001105,1353 SW 10TH ST,NORTH BEND,WA,98045-7958,USA
1001106,13703 SE 202ND PL,KENT,WA,98042-3039,USA
1001107,19115 SE 314TH PL,KENT,WA,98042-9736,USA
1001108,1200 S JACKSON ST,SEATTLE,WA,98144-2026,USA
1001109,8919 ARLINGTON HEIGHTS RD,ARLINGTON,WA,98223-6962,USA
1001112,320 N BURLINGTON BLVD,BURLINGTON,WA,98233-1118,USA
1001113,1642 PACIFIC BLVD SE,ALBANY,OR,97321-4831,USA
1001114,16688 HIGHWAY 99E NE,WOODBURN,OR,97071-9184,USA
1001115,5601 E PORTLAND AVE,TACOMA,WA,98404-2549,USA
1001116,10 ECHO CT,YAKIMA,WA,98908-8814,USA
1001117,7299 W LAKE SAMMAMISH PKWY NE,REDMOND,WA,98052-4303,USA
1001118,1061 15TH AVE,LONGVIEW,WA,98632-2324,USA
1001121,2515 WATERWHEEL RD,EMMETT,ID,83617-9465,USA
1001124,1357 STATE AVE,MARYSVILLE,WA,98270-3604,USA
1001126,15230 NE 24TH ST,REDMOND,WA,98052-5540,USA
1001127,8619 230TH AVE NE,REDMOND,WA,98053-1962,USA
1001128,16230 SW PACIFIC HWY,TIGARD,OR,97224-3459,USA
1001129,21224 84TH AVE S,KENT,WA,98032-1967,USA
1001130,2302 4TH AVE E,OLYMPIA,WA,98506-4733,USA
1001131,3831 MAIN ST,SPRINGFIELD,OR,97478-5801,USA
1001132,3203 264TH ST NE,ARLINGTON,WA,98223-6004,USA
1001134,50 E HEMLOCK CT,SHELTON,WA,98584-9722,USA
1001136,1436 MAIN ST,SPRINGFIELD,OR,97477,USA
1001137,405 S 7TH ST,RENTON,WA,98057-2581,USA
1001138,1800 COOPER POINT RD SW,OLYMPIA,WA,98502-1179,USA
1001139,4809 BEACON AVE S,SEATTLE,WA,98108-1502,USA
1001140,4507 LACEY BLVD SE,LACEY,WA,98503-5718,USA
1001141,5130 BALLARD AVE NW,SEATTLE,WA,98107-4811,USA
1001142,19249 84TH AVE S,KENT,WA,98032-1237,USA
1001143,301 QUEEN ANNE AVE N,SEATTLE,WA,98109-4513,USA
1001144,6008 MARTIN LUTHER KING JR WAY S,SEATTLE,WA,98118-3142,USA
1001145,1341 BAY ST,PORT ORCHARD,WA,98366-5150,USA
1001146,9629 EVERGREEN WAY,EVERETT,WA,98204-7198,USA
1001147,1289 STATE AVE,MARYSVILLE,WA,98270-3696,USA
1001150,12314 MERIDIAN E,PUYALLUP,WA,98373-5061,USA
1001151,2823 S 200TH ST,SEATAC,WA,98198-5208,USA
1001152,1679 S MARKET BLVD,CHEHALIS,WA,98532,USA
1001153,710 THE PARKWAY,RICHLAND,WA,99352-4235,USA
1001158,9903 381ST ST E,EATONVILLE,WA,98328-8057,USA
1001159,485 FRONT ST N,ISSAQUAH,WA,98027-2900,USA
1001160,281 SW 41ST ST,RENTON,WA,98057-4930,USA
1001161,9910 N WAIKIKI RD,SPOKANE,WA,99218-2359,USA
1001163,208 W LEWIS ST,PASCO,WA,99301-5646,USA
1001164,5300 W CLEARWATER,KENNEWICK,WA,99336-1955,USA
1001165,615 W COLUMBIA DR,KENNEWICK,WA,99336,USA
1001166,803 W NOB HILL BLVD,YAKIMA,WA,98902-5524,USA
1001167,1832 W COURT ST,PASCO,WA,99301-3446,USA
1001168,607 W CLARK,PASCO,WA,99301-5523,USA
1001169,29908 61ST AVE S,#,WA,98001-3035,USA
1001170,3730 132ND ST SW,LYNNWOOD,WA,98087-5107,USA
1001172,5705 CENTRAL PARK DR,ABERDEEN,WA,98520-7161,USA
1001173,309 YAKIMA VALLEY HWY,SUNNYSIDE,WA,98944-1322,USA
1001174,1518 S 1ST ST,YAKIMA,WA,98901-3544,USA
1001175,529 N TOWER,CENTRALIA,WA,98531-4664,USA
1001176,1401 FRUITVALE BLVD,YAKIMA,WA,98902-1926,USA
1001177,3206 MAIN ST,UNION GAP,WA,98903-1848,USA
1001178,117 E WALNUT ST,YAKIMA,WA,98901-2824,USA
1001181,111 N 6TH ST,SUNNYSIDE,WA,98944-1348,USA
1001182,6724 51ST AVE E,TACOMA,WA,98443-2335,USA
1001183,4771 CURRANT LANE NE,SALEM,OR,97305-2687,USA
1001184,3795 WILTON AVE NE,SALEM,OR,97305-1203,USA
1001185,9170 PORTLAND RD NE,BROOKS,OR,97305-9636,USA
1001186,14200 1ST AVE S,BURIEN,WA,98168-3430,USA
1001187,1112 SOUTH 344TH ST,FEDERAL WAY,WA,98003-6797,USA
1001188,1052 14TH AVE,LONGVIEW,WA,98632-2319,USA
1001202,11011 W CHARLESTON BLVD,LAS VEGAS,NV,89135-1402,USA
1001206,100 E END BLVD S,MARSHALL,TX,75670-5602,USA
1001207,1501 W SOUTHWEST LOOP 323,TYLER,TX,75701-9350,USA
1001208,2518 E WALNUT AVE,DALTON,GA,30721-8730,USA
1001223,340 E 10TH ST,GILROY,CA,95020-6582,USA
1001234,100 12TH ST,PFLUGERVILLE,TX,78660-3816,USA
1001235,1700 GRAND AVENUE PKWY,PFLUGERVILLE,TX,78660-2073,USA
