LON,LAT,NUMBER,STREET,UNIT,CITY,DISTRICT,REGION,POSTCODE,ID,HASH
-73.5677152,41.1735796,69,FAIRWAY DR,,,,,,,8f49d4c527a66e79
-73.5652596,41.1725159,20,FAIRWAY DR,,,,,,,0336395c5a382004
-73.5655118,41.1730034,24,FAIRWAY DR,,,,,,,0cd32e0cb6c5510d
-73.5658112,41.1737432,28,FAIRWAY DR,,,,,,,8043779037e70a48
-73.5632644,41.1735681,3145,HIGH RIDGE RD,,,,,,,60a5a0f236149dff
-73.5614066,41.1730692,41,RIDING STABLE TRL,,,,,,,d16ffac9bc3ccb71
-73.5640644,41.1734694,3143,HIGH RIDGE RD,,,,,,,58212868feaba97f
-73.5682131,41.1733513,83,FAIRWAY DR,,,,,,,92d0fc1460a6f6a4
-73.566337,41.1734924,48,FAIRWAY DR,,,,,,,a3760656d5e3df1e
-73.5647489,41.1732172,16,FAIRWAY DR,,,,,,,e80a6b1103767cb1
-73.5687371,41.1731525,97,FAIRWAY DR,,,,,,,92c2a7b4bd849db6
-73.5620693,41.1732499,45,RIDING STABLE TRL,,,,,,,56d6c0c08c2c572b
-73.5662787,41.1724441,54,FAIRWAY DR,,,,,,,561dc862cf5fccd8
-73.566841,41.1731815,60,FAIRWAY DR,,,,,,,4c9f4a0ec8b87cdd
-73.5595959,41.172846,53,CALASS LN,,,,,,,2391e6dbdc0a7496
-73.5637682,41.1730216,3127,HIGH RIDGE RD,,,,,,,a55bb0d541652535
-73.560955,41.1728084,56,CALASS LN,,,,,,,23a923700f73ce1a
-73.5692223,41.1728818,107,FAIRWAY DR,,,,,,,d2dccf9439d4ec9c
-73.5672001,41.172841,74,FAIRWAY DR,,,,,,,4bd0828ed31a33cc
-73.5628098,41.1729075,25,RIDING STABLE TRL,,,,,,,d5821c3ca17f41e6
-73.56969,41.1725948,111,FAIRWAY DR,,,,,,,66f5334cee8df345
-73.567815,41.1727217,86,FAIRWAY DR,,,,,,,131d0acff568c043
-73.5705008,41.1724395,115,FAIRWAY DR,,,,,,,25bac2674f9fa8ad
-73.5641218,41.1723437,3116,HIGH RIDGE RD,,,,,,,3a6686b09ba474a1
-73.5682792,41.1725367,96,FAIRWAY DR,,,,,,,5f8469d8f4935831
-73.5634015,41.1724598,3137,HIGH RIDGE RD,,,,,,,aba044d3e9e87c61
-73.5618655,41.1723878,3083,HIGH RIDGE RD,,,,,,,bac25b0e1e7fe9e4
-73.5687458,41.1720654,108,FAIRWAY DR,,,,,,,6b918700c6aa97fc
-73.5667425,41.1721408,56,GREENS CIR,,,,,,,40631f3a3242a9f5
-73.5596651,41.171978,37,CALASS LN,,,,,,,9a3e6d413f151805
-73.5609865,41.1721285,52,CALASS LN,,,,,,,b7f7bbab77665498
-73.5697022,41.1721557,121,FAIRWAY DR,,,,,,,434e313d360af590
-73.5660844,41.172045,60,GREENS CIR,,,,,,,4226b56de4b47639
-73.5713775,41.1720637,151,COUNTRY CLUB RD,,,,,,,656cd9fd17e25672
-73.5633787,41.1720232,3099,HIGH RIDGE RD,,,,,,,780d17778679ca87
-73.5674428,41.172021,50,GREENS CIR,,,,,,,fafacc2f9fcfac59
-73.5680525,41.1717086,32,GREENS CIR,,,,,,,0f9f9bbb1dcda17c
-73.5697136,41.1717466,137,FAIRWAY DR,,,,,,,c57a2fbf2f159c02
-73.5722365,41.1713714,7,COVENTRY RD,,,,,,,da43ccbeafa97b50
-73.5713354,41.1716247,141,COUNTRY CLUB RD,,,,,,,7283a8476b327917
-73.5614762,41.1715316,44,CALASS LN,,,,,,,e138e9bdfad843ad
-73.5688133,41.1715503,10,GREENS CIR,,,,,,,65fac626b47948cc
-73.5656895,41.1716257,61,GREENS CIR,,,,,,,7f0a64c193bee955
-73.5650894,41.1712486,3096,HIGH RIDGE RD,,,,,,,ba61bebdc96865de
-73.5630014,41.1714154,3081,HIGH RIDGE RD,,,,,,,302d163fe12bc1cc
-73.5604532,41.171431,20,CALASS LN,,,,,,,b1ae8d444c0afe72
-73.5658409,41.1709307,3090,HIGH RIDGE RD,,,,,,,0d8d1231d6c9e1d7
-73.5595658,41.1709507,11,CALASS LN,,,,,,,ae8feb26e030c6fd
-73.5667081,41.1713437,55,GREENS CIR,,,,,,,b8b0dfcdce4163e0
-73.5727493,41.1712725,15,COVENTRY RD,,,,,,,502a542eb2a2a244
-73.569668,41.1713325,145,FAIRWAY DR,,,,,,,809099b5a30bf6d6
-73.5712097,41.1711989,133,COUNTRY CLUB RD,,,,,,,4db4f4b6070fd0c8
-73.5608308,41.1704695,68,TRINITY PASS RD,,,,,,,8f12532a9d6dd3f9
-73.5675367,41.1711448,35,GREENS CIR,,,,,,,f2ab14326af477fe
-73.5732246,41.1708853,33,COVENTRY RD,,,,,,,22ea845300a43a44
-73.5619378,41.1705278,28,TRINITY PASS RD,,,,,,,3bb4f34fecec7f29
-73.5681226,41.1709386,21,GREENS CIR,,,,,,,37e68415dfb87d46
-73.5629529,41.1711247,2,TRINITY PASS RD,,,,,,,bbb1d412e1ebaf60
-73.5624374,41.171,10,TRINITY PASS RD,,,,,,,33fe602771d2555f
-73.5634527,41.1709645,3070,HIGH RIDGE RD,,,,,,,d73580967693f1a0
-73.5614757,41.1702391,48,TRINITY PASS RD,,,,,,,cb6523c4d040bf07
-73.5708035,41.1708221,111,COUNTRY CLUB RD,,,,,,,cbaad4da70d08851
-73.5739941,41.1706246,49,COVENTRY RD,,,,,,,5f7af913f34c7307
-73.5696791,41.1708418,161,FAIRWAY DR,,,,,,,6d4f0c120f5fc4aa
-73.5687962,41.1707771,164,FAIRWAY DR,,,,,,,1f7373c05905b2b6
-73.5603421,41.170715,78,TRINITY PASS RD,,,,,,,bf84fdf05a9bc560
-73.5719152,41.1706218,112,COUNTRY CLUB RD,,,,,,,7bc1e7ed4859b27c
-73.5744848,41.1704211,59,COVENTRY RD,,,,,,,6fa01b0b03c34fc4
-73.5724862,41.1704259,24,COVENTRY RD,,,,,,,3136b192a877fd71
-73.5629221,41.1707419,3065,HIGH RIDGE RD,,,,,,,e7947b5f8b20061a
-73.5634745,41.1707165,3064,HIGH RIDGE RD,,,,,,,1e898e770f8ef2b2
-73.569614,41.1703564,177,FAIRWAY DR,,,,,,,5096b260f64b8765
-73.5708726,41.1703871,105,COUNTRY CLUB RD,,,,,,,71c0ff7c2ca358c0
-73.5627084,41.1704173,3047,HIGH RIDGE RD,,,,,,,74129451a34cfec6
-73.5635629,41.1703685,3052,HIGH RIDGE RD,,,,,,,decc82c092315c16
-73.5730645,41.1702,36,COVENTRY RD,,,,,,,fd575b75c22a1b45
-73.5750608,41.1701379,77,COVENTRY RD,,,,,,,4901181be85afc68
-73.5684506,41.1702794,182,FAIRWAY DR,,,,,,,07f3020f16392a45
-73.565055,41.1695517,15,MAYAPPLE RD,,,,,,,f999b4ae6250294e
-73.5630382,41.1691521,3015,HIGH RIDGE RD,,,,,,,3e3d9893c1fd1adf
-73.5591156,41.1699327,97,TRINITY PASS RD,,,,,,,57cd5c2f8f52248c
-73.5586079,41.1701742,99,TRINITY PASS RD,,,,,,,ed0799cf4d00ac4b
-73.5736666,41.1699671,52,COVENTRY RD,,,,,,,259cc7fc9a8677c0
-73.5598188,41.1699248,79,TRINITY PASS RD,,,,,,,87964157c2885a06
-73.5717995,41.1698661,94,COUNTRY CLUB RD,,,,,,,d591aedf4ee87e29
-73.5630355,41.1701139,3043,HIGH RIDGE RD,,,,,,,87eb6833b9232b21
-73.5755157,41.1697436,91,COVENTRY RD,,,,,,,f7fc2665baa11df3
-73.5709729,41.1699333,29,COUNTRY CLUB RD,,,,,,,4f30e0e73cbad0e8
-73.5656432,41.1696648,25,MAYAPPLE RD,,,,,,,22800a17eb621d58
-73.5694433,41.169812,183,FAIRWAY DR,,,,,,,5c57bea5fc793c3e
-73.5641931,41.1697325,3040,HIGH RIDGE RD,,,,,,,708a91e17e03e424
-73.560379,41.170029,71,TRINITY PASS RD,,,,,,,5b47a8590ea5968b
-73.5722386,41.1695634,21,ROLLING RIDGE RD,,,,,,,2e93eb1fb2328e3a
-73.5681705,41.1698306,186,FAIRWAY DR,,,,,,,30b3fc5613f10b88
-73.5742921,41.1696706,74,COVENTRY RD,,,,,,,372731ac1f0b8b7b
-73.5759288,41.1695574,0,COVENTRY RD,,,,,,,6ae689076fadaa2d
-73.5615406,41.1698312,45,TRINITY PASS RD,,,,,,,b3c366296b38941b
-73.566323,41.1696906,35,MAYAPPLE RD,,,,,,,8a684910e94a9f16
-73.5646081,41.1692321,5,MAYAPPLE RD,,,,,,,bc2c789e84ec6a4c
-73.5687253,41.169587,190,FAIRWAY DR,,,,,,,385fdca7e3948bfb
-73.5701662,41.1696292,79,COUNTRY CLUB RD,,,,,,,229237c489f128f5
-73.5728913,41.169408,35,ROLLING RIDGE RD,,,,,,,50f19fdab63de7f5
-73.5677282,41.1693073,65,MAYAPPLE RD,,,,,,,12a4b394c08b1f52
-73.5749193,41.1692656,93,ROLLING RIDGE RD,,,,,,,5afc25d4ce9f941e
-73.5735044,41.1692202,51,ROLLING RIDGE RD,,,,,,,e470f6778bd2999b
-73.5639601,41.1693302,3020,HIGH RIDGE RD,,,,,,,809f1b2841877d49
-73.5741779,41.1690522,67,ROLLING RIDGE RD,,,,,,,6d353be777dce376
-73.5661639,41.1691713,45,MAYAPPLE RD,,,,,,,b0b679720e024b6a
-73.5653786,41.1691947,37,MAYAPPLE RD,,,,,,,3f5878aa33c62cdb
-73.5714125,41.1691154,74,COUNTRY CLUB RD,,,,,,,ed10a56ed8b95fd5
-73.5685723,41.1684985,109,MAYAPPLE RD,,,,,,,97b7cc3a3e42a1b3
-73.5693751,41.1690514,71,COUNTRY CLUB RD,,,,,,,3623e5b35c7691ba
-73.5719992,41.1689065,22,ROLLING RIDGE RD,,,,,,,75d92699b4b6d31e
-73.5676475,41.1688742,85,MAYAPPLE RD,,,,,,,eaf80bc9fc54c6f4
-73.5756533,41.1689498,92,ROLLING RIDGE RD,,,,,,,8fdbf1f2e95934a3
-73.5725952,41.1687365,40,ROLLING RIDGE RD,,,,,,,5f9e12b949fa3434
-73.5659911,41.1686979,55,MAYAPPLE RD,,,,,,,526c58c36d72468e
-73.5672372,41.1685797,75,MAYAPPLE RD,,,,,,,b653e6b58ba63686
-73.5733239,41.1686016,46,ROLLING RIDGE RD,,,,,,,2f76f4610c765333
-73.5640135,41.1685687,10,MAYAPPLE RD,,,,,,,5ab9ead994bdfe04
-73.5753619,41.16844,84,ROLLING RIDGE RD,,,,,,,94295151a9c0d1bb
-73.5648136,41.1684706,32,MAYAPPLE RD,,,,,,,720bbdb893d035ee
-73.5738645,41.1683616,66,ROLLING RIDGE RD,,,,,,,c4fb1d4aa9cb49c9
-73.5713393,41.1682762,50,COUNTRY CLUB RD,,,,,,,60f492de114be1dc
-73.5752898,41.1679047,80,ROLLING RIDGE RD,,,,,,,f6cf4d6a0d559566
-73.5744981,41.1682917,72,ROLLING RIDGE RD,,,,,,,b6ff9421c83d4384
-73.562929,41.1684676,2993,HIGH RIDGE RD,,,,,,,46c5661e7076dbce
-73.56776,41.1681632,95,MAYAPPLE RD,,,,,,,25c08c2aaed98082
-73.5656119,41.1681312,275,RUSSET RD,,,,,,,078cb85d813a1de8
-73.5724332,41.1680471,31,BOULDEROL RD,,,,,,,bf3a063f95cfd955
-73.5628593,41.1682252,2987,HIGH RIDGE RD,,,,,,,2d061643109dc06c
-73.5636105,41.167999,2988,HIGH RIDGE RD,,,,,,,acd40a76417c032b
-73.56459,41.1679236,245,RUSSET RD,,,,,,,534b5588ef19aa7a
-73.5711915,41.1677283,34,COUNTRY CLUB RD,,,,,,,b8b4947f3f5a072f
-73.5689738,41.1679171,115,MAYAPPLE RD,,,,,,,090a75c02da6b000
-73.5627766,41.1681226,2983,HIGH RIDGE RD,,,,,,,b3d20fd12e54bfe7
-73.5664585,41.167907,76,MAYAPPLE RD,,,,,,,a9d8e45837719e77
-73.5737532,41.1675799,71,BOULDEROL RD,,,,,,,ea15ef0e581d0966
-73.5626111,41.1679033,2979,HIGH RIDGE RD,,,,,,,0d1a5f11c8b6cf6a
-73.5652918,41.167774,249,RUSSET RD,,,,,,,0268b01fd801598c
-73.5619791,41.1675946,2975,HIGH RIDGE RD,,,,,,,4cba225f0a1bd09a
-73.5673983,41.1676036,108,MAYAPPLE RD,,,,,,,cea1d82c26d4ca04
-73.5723058,41.1673583,43,BOULDEROL RD,,,,,,,e5d4a0def9c6022a
-73.5641961,41.1674848,241,RUSSET RD,,,,,,,c4f6b610fbb06dc1
-73.5632422,41.1674936,2978,HIGH RIDGE RD,,,,,,,de3961d697033a9b
-73.5677504,41.1675081,118,MAYAPPLE RD,,,,,,,37e1a885e183edea
-73.5665478,41.1673772,264,RUSSET RD,,,,,,,379d1c7ea45c328b
-73.5678639,41.1666903,116,MAYAPPLE RD,,,,,,,a7e3e6c217e77191
-73.568407,41.1665564,122,MAYAPPLE RD,,,,,,,0146f412d55af1fc
-73.5713656,41.1673406,22,COUNTRY CLUB RD,,,,,,,11f6fb7264d5c1ec
-73.5684743,41.1672338,120,MAYAPPLE RD,,,,,,,5f23f9f0d6630f3d
-73.5688925,41.1668034,126,MAYAPPLE RD,,,,,,,7269320f21750b1d
-73.5694402,41.1670142,146,MAYAPPLE RD,,,,,,,4de82b3e40a755d4
-73.5641907,41.166916,219,RUSSET RD,,,,,,,35ce58dd3f93c32e
-73.564893,41.1672145,237,RUSSET RD,,,,,,,97bbc54997897d54
-73.5663408,41.1668405,154,MC INTOSH RD,,,,,,,238387cad7d32623
-73.5710296,41.1670976,15,BOULDEROL RD,,,,,,,7d72e704eb031553
-73.5637064,41.1666542,209,RUSSET RD,,,,,,,740af155c424f713
-73.5654857,41.1666634,149,MC INTOSH RD,,,,,,,6be4dc8686f293bd
-73.5735075,41.1663718,68,BOULDEROL RD,,,,,,,c50e1a0d7d02e51e
-73.5726648,41.166273,52,BOULDEROL RD,,,,,,,c1f0d788cf80bf36
-73.5718347,41.1663136,36,BOULDEROL RD,,,,,,,08cb5be42b1675b8
-73.5707848,41.1663762,177,MAYAPPLE RD,,,,,,,fd8bc1cd035dc5fd
-73.5644134,41.1664206,218,RUSSET RD,,,,,,,de051f6ded7d0440
-73.5634091,41.1662826,197,RUSSET RD,,,,,,,1669aee275e50a6c
-73.5670294,41.1662368,130,MC INTOSH RD,,,,,,,b47070e19fabee53
-73.5664205,41.1664085,136,MC INTOSH RD,,,,,,,09d320d389e2d9f0
-73.5697132,41.1660893,182,MAYAPPLE RD,,,,,,,7e6d1176a32251b8
-73.5583842,41.1662725,58,LAUREL RD,,,,,,,a415496f4763cdd9
-73.5675341,41.1660462,112,MC INTOSH RD,,,,,,,51a2742c51325b7f
-73.5689605,41.1660368,27,MC INTOSH CT,,,,,,,d69b15c0fcd9198a
-73.5586914,41.1662082,52,LAUREL RD,,,,,,,f5dbc9da76875b35
-73.5589105,41.1661094,46,LAUREL RD,,,,,,,1168ab663e4ff105
-73.561621,41.1659135,19,FLORA PL,,,,,,,4aa2c798f08dd358
-73.5641732,41.165974,194,RUSSET RD,,,,,,,3a002f7538649352
-73.5622006,41.1659732,23,FLORA PL,,,,,,,6fbf145de2f357fc
-73.5650423,41.1660478,222,RUSSET RD,,,,,,,555284b525d86d05
-73.570831,41.1659333,193,MAYAPPLE RD,,,,,,,6d7a43f88b7ef42b
-73.5621388,41.1654328,25,FLORA PL,,,,,,,f159a4bcd10a5789
-73.5633695,41.1658546,185,RUSSET RD,,,,,,,4ec718288a8e800d
-73.5661567,41.1659401,133,MC INTOSH RD,,,,,,,4c608b34cc9c6051
-73.573228,41.1655915,43,TANGLEWOOD LN,,,,,,,a2a8b1f09e7ad331
-73.5689814,41.1656022,28,MC INTOSH CT,,,,,,,b6b682825881a005
-73.5583246,41.1658008,55,LAUREL RD,,,,,,,60aa6b1b10401d39
-73.5668243,41.1656056,111,MC INTOSH RD,,,,,,,960a7c530a2f75f6
-73.5700561,41.1656756,196,MAYAPPLE RD,,,,,,,bcd0207a68f63527
-73.5584849,41.1657796,53,LAUREL RD,,,,,,,04d582fdc7fbf3ca
-73.5718513,41.1655054,21,TANGLEWOOD LN,,,,,,,76bd336e037dd81e
-73.5563958,41.1654221,133,LAUREL RD,,,,,,,86639fc6c5cf7eb6
-73.5585069,41.1653663,39,LAUREL RD,,,,,,,9fe90e49dbf18a23
-73.567829,41.1655572,94,MC INTOSH RD,,,,,,,b02b4b4679cd6917
-73.563952,41.1655339,180,RUSSET RD,,,,,,,0631326a1b757ef6
-73.5724453,41.1652815,37,TANGLEWOOD LN,,,,,,,c743b9d0f05bd52f
-73.5659437,41.1655362,16,BLACK TWIG PL,,,,,,,ad959b6bac92f44e
-73.5709768,41.1654434,207,MAYAPPLE RD,,,,,,,0bb737b96c5f3fa5
-73.5619605,41.1648183,24,FLORA PL,,,,,,,43a78d4b2c5f5bd9
-73.5690715,41.1652447,22,MC INTOSH CT,,,,,,,a497c3682ad9c807
-73.567075,41.165248,91,MC INTOSH RD,,,,,,,f4f79f7fb6fa0037
-73.563164,41.1654437,173,RUSSET RD,,,,,,,e5675218dab6b023
-73.5651695,41.1652242,34,BLACK TWIG PL,,,,,,,88b7d85750657028
-73.5595706,41.1652051,23,LAUREL RD,,,,,,,01e9d649568c4fba
-73.5701579,41.165107,222,MAYAPPLE RD,,,,,,,ef07bf1b3e201c20
-73.5646763,41.1649345,38,BLACK TWIG PL,,,,,,,e49d8e8b7e05ae98
-73.5601345,41.1651073,11,LAUREL RD,,,,,,,973ba883d1a7f3eb
-73.5678125,41.165082,84,MC INTOSH RD,,,,,,,b479d96871488147
-73.5733421,41.1649553,53,TANGLEWOOD LN,,,,,,,e2de8a8c71535a5c
-73.5662633,41.1649582,31,BLACK TWIG PL,,,,,,,7282857291a08658
-73.5637769,41.164977,164,RUSSET RD,,,,,,,51e73074261c117d
-73.5627576,41.1648808,153,RUSSET RD,,,,,,,b75b6cd623cad019
-73.5579421,41.1647291,40,SPRING HILL LN N,,,,,,,9ecaa3a6be79d3d7
-73.5679063,41.1647823,80,MC INTOSH RD,,,,,,,da30d30b8c4d7d28
-73.5710966,41.1647125,227,MAYAPPLE RD,,,,,,,85e68d4673f9f069
-73.567016,41.1647633,79,MC INTOSH RD,,,,,,,0f865649d76f8403
-73.5886451,41.1629149,1233,ROCK RIMMON RD,,,,,,,e968c42cdbf89027
-73.569321,41.1645861,226,MAYAPPLE RD,,,,,,,9ad6162cf8e9042e
-73.5591,41.1641908,49,SPRING HILL LN N,,,,,,,d9204d1b42a162bc
-73.573672,41.1643461,50,TANGLEWOOD LN,,,,,,,e6c62da2abb48851
-73.5785616,41.1641639,963,ROCK RIMMON RD,,,,,,,7a7d09bf04c7848a
-73.5695738,41.1643142,230,MAYAPPLE RD,,,,,,,d7873770c3aa368c
-73.566289,41.1643988,39,BLACK TWIG PL,,,,,,,34a87c14cf0ecd45
-73.5617042,41.1642671,20,FLORA PL,,,,,,,509a018f10035af7
-73.5611213,41.164557,2,FLORA PL,,,,,,,e342d4e0a0028891
-73.5635591,41.1645514,152,RUSSET RD,,,,,,,c016b0f17a480403
-73.5702091,41.1645578,228,MAYAPPLE RD,,,,,,,5ace84d897c19d52
-73.5820357,41.1640611,1021,ROCK RIMMON RD,,,,,,,e6d7370d4c3e3ea1
-73.5645536,41.1646416,42,BLACK TWIG PL,,,,,,,26d69a4011a6c287
-73.5679583,41.1644112,66,MC INTOSH RD,,,,,,,d76e5ce9d979973b
-73.5625882,41.1643687,141,RUSSET RD,,,,,,,2ef47eab41aa46b2
-73.5673442,41.1643589,73,MC INTOSH RD,,,,,,,cc71a0ffedc3b39e
-73.5752536,41.1640379,335,MAYAPPLE RD,,,,,,,ef1379bd767431b7
-73.5647366,41.1641891,48,BLACK TWIG PL,,,,,,,f49e406863fcdfe5
-73.5658956,41.1641218,45,BLACK TWIG PL,,,,,,,9e204edda6a95a60
-73.5774239,41.1637951,957,ROCK RIMMON RD,,,,,,,d9b619beaa67f71e
-73.5633322,41.1641272,138,RUSSET RD,,,,,,,74bafe5b5b282e91
-73.5795334,41.1635888,981,ROCK RIMMON RD,,,,,,,7b5c56987bc985f8
-73.5610814,41.1640909,2856,HIGH RIDGE RD,,,,,,,b56e2670579fdf1e
-73.5683777,41.1639397,52,MC INTOSH RD,,,,,,,f7c27172d0f55110
-73.5690671,41.1637875,48,MC INTOSH RD,,,,,,,0c3fdba16905a9ab
-73.5579394,41.1636677,50,SPRING HILL LN N,,,,,,,32892fd19d1c5ebf
-73.5650009,41.1637953,52,BLACK TWIG PL,,,,,,,033e8db9764de521
-73.5674049,41.1638946,65,MC INTOSH RD,,,,,,,949ec00e652d2a2d
-73.5624306,41.163661,117,RUSSET RD,,,,,,,65d89225de62b686
-73.5663918,41.1635862,49,BLACK TWIG PL,,,,,,,bf42db01d828a0c1
-73.5744422,41.1631778,333,MAYAPPLE RD,,,,,,,3ca88d5df679a2cf
-73.5659735,41.1633209,51,BLACK TWIG PL,,,,,,,895cf044bddf30b3
-73.5631658,41.1636668,124,RUSSET RD,,,,,,,884cf5dc43601966
-73.5644045,41.163424,44,CRAB APPLE PL,,,,,,,ba93fde6aefe1303
-73.5655072,41.1636395,54,BLACK TWIG PL,,,,,,,11db9dcc281abff9
-73.5606536,41.1637193,2844,HIGH RIDGE RD,,,,,,,46d0f1c742dca153
-73.5614523,41.163296,2828,HIGH RIDGE RD,,,,,,,30a7fdf7546728cd
-73.5687648,41.1633488,38,MC INTOSH RD,,,,,,,3427be0c37bf5d18
-73.5674288,41.1634263,39,MC INTOSH RD,,,,,,,dc23a33977b32fe3
-73.5765543,41.1629244,925,ROCK RIMMON RD,,,,,,,4d4c6127c4e1046a
-73.5756274,41.1624647,905,ROCK RIMMON RD,,,,,,,cb2845377e05cd11
-73.594362,41.160852,2949,LONG RIDGE RD,,,,,,,9f136c8f99d9293c
-73.5599755,41.163391,2829,HIGH RIDGE RD,,,,,,,f60beccde58fba05
-73.5683395,41.1630824,24,MC INTOSH RD,,,,,,,63f01259fb2ccb18
-73.5623391,41.1630234,101,RUSSET RD,,,,,,,69d810d29df215ed
-73.5641329,41.1629822,48,CRAB APPLE PL,,,,,,,3770cccd9751091c
-73.5537151,41.16296,9,SPRING HILL LN E,,,,,,,fe31824b06d8c1bb
-73.5650326,41.1629175,40,CRAB APPLE PL,,,,,,,85f51eed99972adb
-73.5709123,41.1631151,272,MAYAPPLE RD,,,,,,,90b5e8152b61aaa8
-73.5630034,41.1632254,106,RUSSET RD,,,,,,,784827208c7381ad
-73.5789296,41.1627887,976,ROCK RIMMON RD,,,,,,,e8f3d8e65bd58bfe
-73.5523188,41.1630753,229,LAUREL RD,,,,,,,604d329f9cab15f8
-73.5679037,41.1626326,19,MC INTOSH RD,,,,,,,bafb38420aaef4bf
-73.5778978,41.1625775,934,ROCK RIMMON RD,,,,,,,d77b3be68836ad16
-73.5612553,41.1627332,2810,HIGH RIDGE RD,,,,,,,d55e81b71c5b4e48
-73.5671585,41.1625652,133,WINESAP RD,,,,,,,53ca6b8c1691151f
-73.5536662,41.1623176,21,SPRING HILL LN E,,,,,,,e01d4588f8a4010e
-73.5786933,41.162117,950,ROCK RIMMON RD,,,,,,,84d2fdd00c0965c9
-73.5792792,41.1621114,992,ROCK RIMMON RD,,,,,,,135a6154eb963f1a
-73.5796013,41.1624949,996,ROCK RIMMON RD,,,,,,,0127df285f5cb795
-73.5667699,41.1624826,125,WINESAP RD,,,,,,,10d3dc3dff4620f0
-73.5655232,41.1626849,34,CRAB APPLE PL,,,,,,,ffaa4e30f932bef5
-73.5548737,41.1623668,47,SPRING HILL LN E,,,,,,,f891e645ca09d129
-73.5685455,41.1626745,18,MC INTOSH RD,,,,,,,577ee888bd521309
-73.5598998,41.1627434,2811,HIGH RIDGE RD,,,,,,,e6d4ad96706461bd
-73.5805034,41.1623645,1010,ROCK RIMMON RD,,,,,,,d9f64d5ef9b46a4c
-73.5517586,41.1629758,320,INGLESIDE DR,,,,,,,d092d0b236ab6c95
-73.5479093,41.1626026,19,RESERVOIR LN,,,,,,,031d2d68dcd61e48
-73.5631341,41.1626553,90,RUSSET RD,,,,,,,431436579b86a8c3
-73.551195,41.1627864,325,INGLESIDE DR,,,,,,,627d4c5890d1def9
-73.5640071,41.1624774,37,CRAB APPLE PL,,,,,,,0819cdf7a07f064b
-73.5774429,41.1623627,926,ROCK RIMMON RD,,,,,,,e7620192ffb0323b
-73.562413,41.162575,87,RUSSET RD,,,,,,,9a76d60e914a2963
-73.5799879,41.161678,1012,ROCK RIMMON RD,,,,,,,b8c7fe32e819f4f9
-73.5524441,41.1623516,294,INGLESIDE DR,,,,,,,b66e88ce470f7c04
-73.5802349,41.1611681,1016,ROCK RIMMON RD,,,,,,,def06c299572713e
-73.566127,41.162377,109,WINESAP RD,,,,,,,ef0aae4f69ab913f
-73.5556666,41.1622567,63,SPRING HILL LN E,,,,,,,854d54a4a80a2efe
-73.5812349,41.1617497,1038,ROCK RIMMON RD,,,,,,,88dda21800174c38
-73.5586974,41.162467,124,SHADY KNOLL DR,,,,,,,607ce9467ddb9c8e
-73.5475721,41.1621914,477,WOODBINE RD,,,,,,,2fe4f6378d57b9b4
-73.548409,41.1624453,9,RESERVOIR LN,,,,,,,dab3795ba7117d80
-73.551369,41.1621239,307,INGLESIDE DR,,,,,,,8a79514dcfc46ddc
-73.5495086,41.1624472,518,WOODBINE RD,,,,,,,3360c1df8b5ff79a
-73.5527689,41.1620953,286,INGLESIDE DR,,,,,,,22fcf60ada229ff3
